Id	Nodes	Versions	FlatProperties	BinaryProperties	Files	EFEntities
1	5,23093	0,621134	1,137389	0,390697	0,514454	1,051984
2	13,51972	0,617811	1,167506	0,386044	4,683502	0,685495
3	17,756458	0,617562	1,183267	0,395567	0,562716	9,504898
4	4,357602	0,641621	1,067035	0,43157	0,520038	0,311379
5	11,056911	0,61136	1,171523	0,383898	0,518353	0,32954
6	20,662934	0,631028	1,21353	0,409979	0,500206	9,211855
7	9,317814	0,678486	1,170863	0,451733	1,079645	0,320911
8	21,499774	0,589965	1,142334	0,387129	0,535382	8,858173
9	4,640276	0,638844	1,203825	0,389025	0,484234	0,365771
10	25,900082	0,606975	1,223874	0,410049	1,132611	11,463328
11	4,587548	0,649526	1,120257	0,408764	0,489176	0,465985
12	15,315184	0,614424	1,14357	0,389957	0,502897	0,409988
13	29,178652	0,663034	1,203211	0,397206	1,005509	13,099571
