----
>1110	2017-10-10 01:14:25.23077	Test	A:UnitTestAdapter: Running test	T:11				END test: TreeLock_AcquieAndScope
>1111	2017-10-10 01:14:25.23476	Test	A:UnitTestAdapter: Running test	T:11				START test: TreeLock_Release
1112	2017-10-10 01:14:25.23979	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1113	2017-10-10 01:14:25.23979	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1114	2017-10-10 01:14:25.23979	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1115	2017-10-10 01:14:25.23979	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1116	2017-10-10 01:14:25.23979	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1117	2017-10-10 01:14:25.23979	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1118	2017-10-10 01:14:25.28892	Index	A:UnitTestAdapter: Running test	T:11	Op:230	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1119	2017-10-10 01:14:25.28892	Index	A:UnitTestAdapter: Running test	T:11	Op:230	End	00:00:00.000000	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1120	2017-10-10 01:14:25.28993	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1121	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C1
1122	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:231	Start		TreeLock: [1] for [/Root/A/B/C1]
1123	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C2
1124	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:232	Start		TreeLock: [2] for [/Root/A/B/C2]
1125	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1/D
1126	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1/D
1127	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2/D
1128	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2/D
1129	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1
1130	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1
1131	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2
1132	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2
1133	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B
1134	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B
1135	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A
1136	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A
1137	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root
1138	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root
1139	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:232	End	00:00:00.000000	TreeLock: [2] for [/Root/A/B/C2]
1140	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1/D
1141	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1/D
1142	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1
1143	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1
1144	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B
1145	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B
1146	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A
1147	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A
1148	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root
1149	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root
1150	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2/D
1151	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2
1152	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:231	End	00:00:00.000000	TreeLock: [1] for [/Root/A/B/C1]
1153	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1/D
1154	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2/D
1155	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C1
1156	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B/C2
1157	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B
1158	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A
1159	2017-10-10 01:14:25.29092	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root
1160	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
1161	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
1162	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
1163	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
1164	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
1165	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1166	2017-10-10 01:14:25.29092	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1167	2017-10-10 01:14:25.29491	Test	A:UnitTestAdapter: Running test	T:11				END test: TreeLock_Release
>1168	2017-10-10 01:14:25.29792	Test	A:UnitTestAdapter: Running test	T:11				START test: TreeLock_CannotAcquire
1169	2017-10-10 01:14:25.30497	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1170	2017-10-10 01:14:25.30497	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1171	2017-10-10 01:14:25.30497	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1172	2017-10-10 01:14:25.30497	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1173	2017-10-10 01:14:25.30497	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1174	2017-10-10 01:14:25.30497	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1175	2017-10-10 01:14:25.35507	Index	A:UnitTestAdapter: Running test	T:11	Op:233	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1176	2017-10-10 01:14:25.35507	Index	A:UnitTestAdapter: Running test	T:11	Op:233	End	00:00:00.000000	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1177	2017-10-10 01:14:25.35507	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1178	2017-10-10 01:14:25.35608	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C
1179	2017-10-10 01:14:25.35608	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:234	Start		TreeLock: [1] for [/Root/A/B/C]
1180	2017-10-10 01:14:25.35608	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C/D
1181	2017-10-10 01:14:25.35608	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Cannot acquire a tree lock for /Root/A/B/C/D
1182	2017-10-10 01:14:25.35608	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C/D
1183	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Cannot acquire a tree lock for /Root/A/B/C/D
1184	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C/D
1185	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Cannot acquire a tree lock for /Root/A/B/C/D
1186	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C/D
1187	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Cannot acquire a tree lock for /Root/A/B/C/D
1188	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B/C/D
1189	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Cannot acquire a tree lock for /Root/A/B/C/D
1190	2017-10-10 01:14:25.35808	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:234	End	00:00:00.002005	TreeLock: [1] for [/Root/A/B/C]
1191	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
1192	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
1193	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
1194	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
1195	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
1196	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1197	2017-10-10 01:14:25.35908	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1198	2017-10-10 01:14:25.36212	Test	A:UnitTestAdapter: Running test	T:11				END test: TreeLock_CannotAcquire
>1199	2017-10-10 01:14:25.36513	Test	A:UnitTestAdapter: Running test	T:11				START test: TreeLock_TSQL_Underscore
1200	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1201	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1202	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1203	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
